Date,Product,Category,Price,Units,Total,Discount,Region,Sales_Rep,Payment_Method,Customer_Segment
2023-01-02,Mouse,Accessories,59.36,3,151.37,0.15,West,Robert Taylor,Credit Card,Individual
2023-01-02,Keyboard,Accessories,49.33,2,89.78,0.09,South,Sarah Wilson,Bank Transfer,Government
2023-01-03,Office Chair,Furniture,323.06,1,323.06,0.0,South,Sarah Wilson,Credit Card,Corporate
2023-01-03,Bookshelf,Furniture,504.67,1,504.67,0.0,North,John Smith,PayPal,Small Business
2023-01-03,Paper Clips,Office Supplies,14.95,3,44.85,0.0,East,David Brown,Credit Card,Corporate
2023-01-03,Paper Clips,Office Supplies,39.61,1,39.61,0.0,East,Lisa Anderson,Debit Card,Government
2023-01-03,Pen Set,Office Supplies,30.36,3,91.08,0.0,North,John Smith,Debit Card,Small Business
2023-01-03,Smartphone,Electronics,581.94,1,581.94,0.0,North,John Smith,Bank Transfer,Government
2023-01-03,Stapler,Office Supplies,26.79,2,53.58,0.0,North,John Smith,Bank Transfer,Small Business
2023-01-03,Stapler,Office Supplies,11.49,1,9.88,0.14,South,Michael Johnson,Bank Transfer,Government
2023-01-03,Smartwatch,Electronics,1737.09,3,5211.27,0.0,North,John Smith,Credit Card,Corporate
2023-01-03,Laptop Bag,Accessories,140.72,5,703.6,0.0,South,Sarah Wilson,Bank Transfer,Individual
2023-01-03,Pen Set,Office Supplies,9.33,2,17.91,0.04,East,Lisa Anderson,PayPal,Individual
2023-01-03,Tablet,Electronics,1133.9,1,1133.9,0.0,South,Michael Johnson,Credit Card,Individual
2023-01-04,Laptop,Electronics,1677.94,1,1677.94,0.0,West,Jennifer Martinez,Bank Transfer,Corporate
2023-01-04,Desk Organizer,Office Supplies,28.25,4,105.09,0.07,East,Lisa Anderson,Bank Transfer,Government
2023-01-04,USB Drive,Accessories,87.16,4,348.64,0.0,West,Jennifer Martinez,Bank Transfer,Corporate
2023-01-04,Tablet,Electronics,1646.73,2,3293.46,0.0,North,Emma Davis,Credit Card,Corporate
2023-01-04,Pen Set,Office Supplies,39.04,3,103.07,0.12,North,John Smith,Credit Card,Government
2023-01-05,Keyboard,Accessories,77.85,1,77.85,0.0,South,Michael Johnson,Debit Card,Small Business
2023-01-05,Keyboard,Accessories,97.27,3,291.81,0.0,West,Jennifer Martinez,Credit Card,Individual
2023-01-05,Smartphone,Electronics,382.12,1,382.12,0.0,South,Michael Johnson,Debit Card,Government
2023-01-05,Office Chair,Furniture,590.53,5,2952.65,0.0,North,Emma Davis,PayPal,Corporate
2023-01-05,Smartphone,Electronics,1785.98,4,7143.92,0.0,North,John Smith,Bank Transfer,Government
2023-01-05,Desk,Furniture,591.95,1,591.95,0.0,South,Sarah Wilson,PayPal,Government
2023-01-05,Laptop,Electronics,577.31,2,1154.62,0.0,East,David Brown,Bank Transfer,Small Business
2023-01-05,Desk Organizer,Office Supplies,27.82,3,83.46,0.0,South,Sarah Wilson,Bank Transfer,Individual
2023-01-05,Paper Clips,Office Supplies,15.37,1,15.22,0.01,South,Michael Johnson,Credit Card,Corporate
2023-01-05,Paper Clips,Office Supplies,31.19,2,62.38,0.0,East,Lisa Anderson,Debit Card,Individual
2023-01-05,Laptop,Electronics,1747.14,4,6709.02,0.04,East,David Brown,Bank Transfer,Individual
2023-01-05,Smartwatch,Electronics,1083.37,4,4333.48,0.0,North,John Smith,Bank Transfer,Individual
2023-01-05,Paper Clips,Office Supplies,6.16,3,18.48,0.0,West,Jennifer Martinez,Credit Card,Individual
2023-01-06,Laptop Bag,Accessories,123.24,3,362.33,0.02,North,John Smith,Credit Card,Small Business
2023-01-06,Office Chair,Furniture,448.24,4,1595.73,0.11,North,Emma Davis,Credit Card,Government
2023-01-06,Headphones,Electronics,1987.74,2,3975.48,0.0,North,Emma Davis,PayPal,Corporate
2023-01-06,Smartwatch,Electronics,774.96,4,2789.86,0.1,North,Emma Davis,Debit Card,Individual
2023-01-06,Smartphone,Electronics,624.63,2,1249.26,0.0,East,Lisa Anderson,Bank Transfer,Small Business
2023-01-06,Laptop Bag,Accessories,32.33,1,32.33,0.0,North,Emma Davis,Debit Card,Individual
2023-01-06,Desk Organizer,Office Supplies,21.95,5,102.07,0.07,South,Michael Johnson,Credit Card,Small Business
2023-01-06,Tablet,Electronics,1675.51,3,5026.53,0.0,South,Sarah Wilson,PayPal,Small Business
2023-01-06,Tablet,Electronics,545.42,4,2181.68,0.0,North,Emma Davis,Bank Transfer,Individual
2023-01-06,Pen Set,Office Supplies,28.76,4,115.04,0.0,West,Jennifer Martinez,Bank Transfer,Small Business
2023-01-06,Pen Set,Office Supplies,35.15,5,175.75,0.0,South,Michael Johnson,Debit Card,Government
2023-01-06,Tablet,Electronics,837.19,1,837.19,0.0,North,John Smith,Debit Card,Corporate
2023-01-06,Headphones,Electronics,1730.68,4,6922.72,0.0,South,Sarah Wilson,Bank Transfer,Government
2023-01-06,Laptop,Electronics,354.94,1,354.94,0.0,West,Robert Taylor,Debit Card,Individual
2023-01-07,Stapler,Office Supplies,48.92,4,195.68,0.0,West,Jennifer Martinez,PayPal,Government
2023-01-07,Laptop,Electronics,1577.93,1,1451.7,0.08,South,Michael Johnson,Bank Transfer,Individual
2023-01-07,Headphones,Electronics,1912.81,3,5738.43,0.0,North,Emma Davis,Debit Card,Small Business
2023-01-07,Bookshelf,Furniture,461.76,1,461.76,0.0,West,Robert Taylor,Bank Transfer,Individual
2023-01-07,Monitor Stand,Accessories,40.06,1,34.85,0.13,North,Emma Davis,Bank Transfer,Corporate
2023-01-07,Laptop Bag,Accessories,29.2,4,116.8,0.0,East,David Brown,Debit Card,Small Business
2023-01-07,Paper Clips,Office Supplies,8.01,5,40.05,0.0,West,Robert Taylor,Debit Card,Individual
2023-01-07,USB Drive,Accessories,84.89,5,424.45,0.0,East,Lisa Anderson,Debit Card,Small Business
2023-01-07,Desk Organizer,Office Supplies,48.27,4,179.56,0.07,East,David Brown,Credit Card,Individual
2023-01-07,Laptop,Electronics,347.74,2,695.48,0.0,South,Sarah Wilson,PayPal,Corporate
2023-01-07,Tablet,Electronics,969.45,1,969.45,0.0,South,Michael Johnson,PayPal,Small Business
2023-01-07,Mouse,Accessories,33.65,1,33.65,0.0,West,,Bank Transfer,Individual
2023-01-08,Notebook,Office Supplies,9.38,3,28.14,0.0,South,Sarah Wilson,Bank Transfer,Small Business
2023-01-08,Keyboard,Accessories,73.91,1,73.91,0.0,West,Robert Taylor,Credit Card,Corporate
2023-01-08,Paper Clips,Office Supplies,36.08,2,69.27,0.04,North,Emma Davis,Credit Card,Individual
2023-01-08,Smartwatch,Electronics,1895.23,2,3790.46,0.0,East,Lisa Anderson,Debit Card,Government
2023-01-08,Desk,Furniture,487.0,2,827.9,0.15,South,Sarah Wilson,PayPal,Individual
2023-01-08,Notebook,Office Supplies,48.07,4,192.28,0.0,West,Jennifer Martinez,PayPal,Corporate
2023-01-08,Keyboard,Accessories,28.17,5,130.99,0.07,North,John Smith,PayPal,Corporate
2023-01-08,Pen Set,Office Supplies,25.94,5,129.7,0.0,South,Sarah Wilson,Debit Card,Government
2023-01-09,USB Drive,Accessories,29.0,2,58.0,0.0,West,Robert Taylor,PayPal,Government
2023-01-09,Tablet,Electronics,451.34,1,437.8,0.03,East,Lisa Anderson,Credit Card,Small Business
2023-01-09,Laptop Bag,Accessories,80.29,4,321.16,0.0,West,Robert Taylor,Bank Transfer,Small Business
2023-01-09,Mouse,Accessories,81.78,1,75.24,0.08,South,Michael Johnson,Credit Card,Individual
2023-01-09,USB Drive,Accessories,116.21,4,464.84,0.0,South,Sarah Wilson,PayPal,Government
2023-01-09,Smartwatch,Electronics,1687.92,5,8439.6,0.0,North,John Smith,Bank Transfer,Small Business
2023-01-09,Stapler,Office Supplies,40.9,4,148.88,0.09,East,Lisa Anderson,Debit Card,Corporate
2023-01-09,Laptop,Electronics,1264.14,5,6320.7,0.0,South,Michael Johnson,PayPal,Individual
2023-01-09,Notebook,Office Supplies,10.46,5,52.3,0.0,North,Emma Davis,PayPal,Small Business
2023-01-09,Laptop,Electronics,875.49,4,3501.96,0.0,East,Lisa Anderson,Credit Card,Individual
2023-01-09,Mouse,Accessories,25.39,4,101.56,0.0,South,Michael Johnson,Credit Card,Corporate
2023-01-09,Desk,Furniture,406.98,2,813.96,0.0,East,Lisa Anderson,Credit Card,Corporate
2023-01-09,Tablet,Electronics,429.58,2,859.16,0.0,North,Emma Davis,Bank Transfer,Corporate
2023-01-09,Notebook,Office Supplies,5.76,2,10.94,0.05,West,Robert Taylor,PayPal,Individual
2023-01-09,Laptop,Electronics,789.0,1,789.0,0.0,East,Lisa Anderson,Bank Transfer,Individual
2023-01-10,USB Drive,Accessories,98.37,2,196.74,0.0,South,Michael Johnson,Bank Transfer,Individual
2023-01-10,Laptop,Electronics,1730.32,1,1730.32,0.0,East,David Brown,Debit Card,Corporate
2023-01-10,Smartwatch,Electronics,1022.72,1,1022.72,0.0,North,John Smith,Debit Card,Individual
2023-01-10,Smartwatch,Electronics,339.08,2,664.6,0.02,East,David Brown,Credit Card,Corporate
2023-01-10,Stapler,Office Supplies,22.53,4,84.71,0.06,West,Jennifer Martinez,PayPal,Individual
2023-01-11,Tablet,Electronics,1208.38,4,4785.18,0.01,East,Lisa Anderson,PayPal,Corporate
2023-01-11,Bookshelf,Furniture,127.14,5,635.7,0.0,South,Michael Johnson,Bank Transfer,Corporate
2023-01-11,Office Chair,Furniture,491.3,1,491.3,0.0,North,Emma Davis,Credit Card,Individual
2023-01-11,Bookshelf,Furniture,310.9,2,621.8,0.0,South,Michael Johnson,PayPal,Government
2023-01-11,Tablet,Electronics,1244.13,1,1244.13,0.0,West,Jennifer Martinez,Debit Card,Individual
2023-01-11,Headphones,Electronics,1478.52,2,2957.04,0.0,West,Jennifer Martinez,Bank Transfer,Small Business
2023-01-11,Bookshelf,Furniture,415.24,3,1245.72,0.0,South,Michael Johnson,Debit Card,Government
2023-01-11,Paper Clips,Office Supplies,34.62,4,135.71,0.02,South,Sarah Wilson,Bank Transfer,Government
2023-01-11,Smartwatch,Electronics,1288.95,4,5155.8,0.0,North,Emma Davis,Debit Card,Individual
2023-01-11,Keyboard,Accessories,40.8,2,81.6,0.0,East,David Brown,Debit Card,Government
2023-01-11,Notebook,Office Supplies,38.85,5,194.25,0.0,North,Emma Davis,Bank Transfer,Government
2023-01-11,USB Drive,Accessories,103.96,5,519.8,0.0,West,Jennifer Martinez,PayPal,Government
2023-01-11,Mouse,Accessories,94.85,5,441.05,0.07,East,Lisa Anderson,Debit Card,Individual
2023-01-11,Mouse,Accessories,80.16,2,160.32,0.0,West,Robert Taylor,Debit Card,Corporate
2023-01-11,Desk,Furniture,447.43,3,1342.29,0.0,North,John Smith,Credit Card,Individual
2023-01-12,Laptop,Electronics,1268.41,4,5073.64,0.0,North,John Smith,PayPal,Individual
2023-01-12,Headphones,Electronics,764.12,1,764.12,0.0,East,Lisa Anderson,Debit Card,Government
2023-01-12,USB Drive,Accessories,64.85,3,194.55,0.0,East,Lisa Anderson,Debit Card,Government
2023-01-12,Pen Set,Office Supplies,7.79,3,21.03,0.1,West,Jennifer Martinez,Credit Card,Corporate
2023-01-12,Monitor Stand,Accessories,99.46,2,198.92,0.0,West,Jennifer Martinez,Bank Transfer,Government
2023-01-12,Monitor Stand,Accessories,78.82,5,350.75,0.11,North,Emma Davis,Bank Transfer,Small Business
2023-01-13,Desk Organizer,Office Supplies,33.05,1,29.08,0.12,West,,Debit Card,Small Business
2023-01-13,Desk Organizer,Office Supplies,28.12,5,140.6,0.0,West,Robert Taylor,PayPal,Corporate
2023-01-13,Lamp,Furniture,354.44,1,347.35,0.02,North,Emma Davis,PayPal,Government
2023-01-13,Pen Set,Office Supplies,9.6,3,27.07,0.06,West,Jennifer Martinez,Bank Transfer,Government
2023-01-13,Desk,Furniture,372.51,1,372.51,0.0,North,John Smith,PayPal,Government
2023-01-13,Desk Organizer,Office Supplies,9.17,5,45.85,0.0,North,Emma Davis,Debit Card,Government
2023-01-13,Bookshelf,Furniture,154.74,3,464.22,0.0,North,Emma Davis,Debit Card,Government
2023-01-13,Stapler,Office Supplies,38.21,2,64.96,0.15,North,Emma Davis,Debit Card,Corporate
2023-01-13,USB Drive,Accessories,78.99,4,315.96,0.0,North,John Smith,Debit Card,Corporate
2023-01-13,USB Drive,Accessories,76.74,5,383.7,0.0,South,Michael Johnson,PayPal,Small Business
2023-01-13,Desk,Furniture,541.73,3,1625.19,0.0,East,David Brown,Credit Card,Small Business
2023-01-14,Stapler,Office Supplies,7.64,3,22.92,0.0,East,Lisa Anderson,Bank Transfer,Government
2023-01-14,Laptop Bag,Accessories,129.66,2,259.32,0.0,North,Emma Davis,Debit Card,Small Business
2023-01-14,Monitor Stand,Accessories,114.97,1,98.87,0.14,South,Sarah Wilson,Credit Card,Corporate
2023-01-14,Tablet,Electronics,488.21,5,2441.05,0.0,South,Sarah Wilson,PayPal,Small Business
2023-01-14,Notebook,Office Supplies,33.11,4,124.49,0.06,East,Lisa Anderson,,Small Business
2023-01-14,Lamp,Furniture,433.35,4,1733.4,0.0,South,Sarah Wilson,Bank Transfer,Individual
2023-01-15,Office Chair,Furniture,336.47,3,1009.41,0.0,West,Robert Taylor,Credit Card,Small Business
2023-01-15,Bookshelf,Furniture,357.06,5,1785.3,0.0,South,Michael Johnson,PayPal,Small Business
2023-01-15,Lamp,Furniture,191.59,2,383.18,0.0,North,Emma Davis,Credit Card,Small Business
2023-01-15,Monitor Stand,Accessories,98.26,3,294.78,0.0,West,Robert Taylor,Credit Card,Government
2023-01-15,Notebook,Office Supplies,43.5,4,174.0,0.0,East,David Brown,PayPal,Government
2023-01-15,Filing Cabinet,Furniture,468.71,5,2343.55,0.0,South,Michael Johnson,PayPal,Government
2023-01-15,Keyboard,Accessories,137.0,2,274.0,0.0,North,John Smith,Credit Card,Small Business
2023-01-15,Headphones,Electronics,1535.84,5,7679.2,0.0,South,Michael Johnson,Credit Card,Individual
2023-01-15,Lamp,Furniture,584.89,3,1754.67,0.0,West,Jennifer Martinez,Debit Card,Government
2023-01-15,Tablet,Electronics,304.59,3,913.77,0.0,South,Sarah Wilson,PayPal,Individual
2023-01-15,Headphones,Electronics,1416.05,2,2832.1,0.0,East,Lisa Anderson,PayPal,Corporate
2023-01-16,Desk Organizer,Office Supplies,46.8,2,80.5,0.14,North,Emma Davis,Bank Transfer,Government
2023-01-16,Monitor Stand,Accessories,112.94,4,451.76,0.0,West,Jennifer Martinez,Debit Card,Small Business
2023-01-16,Keyboard,Accessories,138.52,2,260.42,0.06,South,Sarah Wilson,Bank Transfer,Government
2023-01-16,Desk,Furniture,374.01,1,374.01,0.0,North,John Smith,Credit Card,Government
2023-01-16,Smartphone,Electronics,1123.85,5,5619.25,0.0,South,Michael Johnson,Credit Card,Government
2023-01-16,Paper Clips,Office Supplies,50.03,5,250.15,0.0,West,Jennifer Martinez,PayPal,Corporate
2023-01-16,Laptop,Electronics,560.68,3,1682.04,0.0,West,Jennifer Martinez,PayPal,Government
2023-01-16,Monitor Stand,Accessories,32.35,5,145.58,0.1,South,Sarah Wilson,PayPal,Corporate
2023-01-16,Pen Set,Office Supplies,20.43,5,102.15,0.0,West,Robert Taylor,Bank Transfer,Government
2023-01-16,Mouse,Accessories,70.65,4,274.12,0.03,West,Jennifer Martinez,Bank Transfer,Small Business
2023-01-16,Lamp,Furniture,222.48,5,1112.4,0.0,North,Emma Davis,Debit Card,Corporate
2023-01-16,Mouse,Accessories,118.75,4,475.0,0.0,East,David Brown,PayPal,Corporate
2023-01-16,Lamp,Furniture,427.19,4,1657.5,0.03,West,Jennifer Martinez,Credit Card,Government
2023-01-16,Tablet,Electronics,1780.19,4,7120.76,0.0,West,Jennifer Martinez,Debit Card,Individual
2023-01-17,Desk Organizer,Office Supplies,30.66,1,30.35,0.01,West,Robert Taylor,PayPal,Government
2023-01-17,Paper Clips,Office Supplies,18.12,3,54.36,0.0,South,Sarah Wilson,Debit Card,Corporate
2023-01-17,Smartphone,Electronics,857.95,2,1715.9,0.0,South,Sarah Wilson,Bank Transfer,Small Business
2023-01-17,Mouse,Accessories,59.12,1,59.12,0.0,North,Emma Davis,Bank Transfer,Government
2023-01-17,Pen Set,Office Supplies,12.56,3,37.68,0.0,East,,PayPal,Government
2023-01-18,Bookshelf,Furniture,550.63,3,1651.89,0.0,South,Sarah Wilson,PayPal,Government
2023-01-18,Desk Organizer,Office Supplies,15.02,1,13.07,0.13,East,Lisa Anderson,Credit Card,Corporate
2023-01-18,Laptop,Electronics,561.75,3,1685.25,0.0,South,Sarah Wilson,Debit Card,Corporate
2023-01-18,Monitor Stand,Accessories,110.74,5,492.79,0.11,West,Robert Taylor,Credit Card,Government
2023-01-18,Desk Organizer,Office Supplies,10.19,3,29.04,0.05,South,Sarah Wilson,PayPal,Individual
2023-01-18,Mouse,Accessories,95.34,1,95.34,0.0,North,John Smith,Debit Card,Individual
2023-01-18,Bookshelf,Furniture,417.4,3,1252.2,0.0,North,Emma Davis,Bank Transfer,Corporate
2023-01-18,Monitor Stand,Accessories,81.95,5,409.75,0.0,West,Robert Taylor,Debit Card,Corporate
2023-01-18,USB Drive,Accessories,24.37,4,97.48,0.0,East,David Brown,Bank Transfer,Small Business
2023-01-18,Notebook,Office Supplies,21.87,4,87.48,0.0,North,Emma Davis,Debit Card,Individual
2023-01-18,Smartwatch,Electronics,309.13,3,927.39,0.0,West,Robert Taylor,Debit Card,Small Business
2023-01-18,Notebook,Office Supplies,9.39,2,18.78,0.0,South,Michael Johnson,Credit Card,Individual
2023-01-19,Stapler,Office Supplies,5.41,2,10.82,0.0,North,John Smith,Bank Transfer,Government
2023-01-19,Pen Set,Office Supplies,18.97,2,37.94,0.0,West,Robert Taylor,Credit Card,Corporate
2023-01-19,Desk Organizer,Office Supplies,22.61,5,113.05,0.0,East,Lisa Anderson,Debit Card,Small Business
2023-01-19,Keyboard,Accessories,60.47,5,287.23,0.05,West,Jennifer Martinez,Credit Card,Small Business
2023-01-19,Laptop Bag,Accessories,37.5,2,75.0,0.0,East,Lisa Anderson,Credit Card,Individual
2023-01-19,Desk,Furniture,408.58,2,792.65,0.03,West,Jennifer Martinez,Debit Card,Corporate
2023-01-19,Monitor Stand,Accessories,126.27,3,378.81,0.0,West,Jennifer Martinez,Bank Transfer,Corporate
2023-01-19,Desk,Furniture,390.78,1,359.52,0.08,West,Jennifer Martinez,Credit Card,Government
2023-01-19,Bookshelf,Furniture,153.4,4,601.33,0.02,West,Jennifer Martinez,Credit Card,Small Business
2023-01-19,Lamp,Furniture,122.13,4,488.52,0.0,West,Robert Taylor,Debit Card,Corporate
2023-01-19,Desk Organizer,Office Supplies,24.48,1,24.48,0.0,North,Emma Davis,Debit Card,Individual
2023-01-19,Lamp,Furniture,102.84,4,411.36,0.0,West,Jennifer Martinez,Credit Card,Corporate
2023-01-20,Smartwatch,Electronics,948.03,3,2815.65,0.01,East,,Bank Transfer,Individual
2023-01-20,Notebook,Office Supplies,21.96,3,65.88,0.0,North,Emma Davis,Debit Card,Government
2023-01-20,USB Drive,Accessories,145.88,2,291.76,0.0,North,Emma Davis,Debit Card,Corporate
2023-01-20,Desk,Furniture,197.63,5,988.15,0.0,East,Lisa Anderson,Bank Transfer,Corporate
2023-01-20,Monitor Stand,Accessories,21.55,2,39.22,0.09,South,,PayPal,Small Business
2023-01-20,USB Drive,Accessories,66.54,1,66.54,0.0,North,Emma Davis,Credit Card,Small Business
2023-01-20,Headphones,Electronics,1367.12,5,6835.6,0.0,South,Sarah Wilson,Debit Card,Government
2023-01-20,Filing Cabinet,Furniture,97.78,3,293.34,0.0,South,Michael Johnson,PayPal,Individual
2023-01-20,Stapler,Office Supplies,14.79,5,73.95,0.0,North,Emma Davis,Debit Card,Government
2023-01-20,Smartwatch,Electronics,1315.1,5,6575.5,0.0,East,Lisa Anderson,PayPal,Corporate
2023-01-21,Lamp,Furniture,419.73,2,839.46,0.0,South,Sarah Wilson,Credit Card,Government
2023-01-21,Tablet,Electronics,822.77,3,2468.31,0.0,South,Sarah Wilson,PayPal,Government
2023-01-21,Office Chair,Furniture,436.5,4,1606.32,0.08,South,Michael Johnson,Debit Card,Government
2023-01-21,Bookshelf,Furniture,427.64,5,2138.2,0.0,North,Emma Davis,Debit Card,Government
2023-01-21,Desk,Furniture,478.85,5,2394.25,0.0,East,David Brown,PayPal,Small Business
2023-01-21,Smartwatch,Electronics,1844.42,3,5533.26,0.0,South,Sarah Wilson,Debit Card,Corporate
2023-01-21,Keyboard,Accessories,151.53,1,151.53,0.0,West,Jennifer Martinez,PayPal,Small Business
2023-01-21,Desk,Furniture,259.25,5,1296.25,0.0,North,John Smith,Credit Card,Corporate
2023-01-21,Smartwatch,Electronics,2030.1,4,7389.56,0.09,South,Michael Johnson,Bank Transfer,Small Business
2023-01-21,Smartwatch,Electronics,1060.51,3,3181.53,0.0,West,Robert Taylor,Debit Card,Small Business
2023-01-21,Mouse,Accessories,100.12,3,300.36,0.0,West,Jennifer Martinez,Credit Card,Corporate
2023-01-21,Smartphone,Electronics,1717.42,2,2919.61,0.15,South,Michael Johnson,Credit Card,Government
2023-01-21,Pen Set,Office Supplies,26.21,2,47.18,0.1,West,Robert Taylor,Debit Card,Individual
2023-01-21,Keyboard,Accessories,125.63,1,125.63,0.0,West,Jennifer Martinez,Credit Card,Small Business
2023-01-21,Headphones,Electronics,1685.18,3,4802.76,0.05,South,Sarah Wilson,Credit Card,Government
2023-01-22,Headphones,Electronics,976.42,1,888.54,0.09,East,Lisa Anderson,Credit Card,Small Business
2023-01-22,USB Drive,Accessories,77.15,3,215.25,0.07,North,Emma Davis,PayPal,Individual
2023-01-22,Paper Clips,Office Supplies,20.14,5,93.65,0.07,East,Lisa Anderson,Credit Card,Individual
2023-01-22,Stapler,Office Supplies,30.28,1,29.67,0.02,East,Lisa Anderson,Debit Card,Individual
2023-01-22,Tablet,Electronics,998.54,2,1857.28,0.07,West,Jennifer Martinez,Credit Card,Government
2023-01-23,Smartphone,Electronics,1712.68,4,6850.72,0.0,East,Lisa Anderson,Credit Card,Government
2023-01-23,Laptop Bag,Accessories,43.54,4,168.94,0.03,South,Sarah Wilson,Debit Card,Small Business
2023-01-23,Mouse,Accessories,138.4,5,692.0,0.0,East,David Brown,Credit Card,Corporate
2023-01-23,USB Drive,Accessories,70.68,3,212.04,0.0,North,John Smith,Debit Card,Corporate
2023-01-23,Smartwatch,Electronics,496.49,2,853.96,0.14,North,John Smith,Credit Card,Individual
2023-01-23,Desk Organizer,Office Supplies,35.09,2,69.48,0.01,East,David Brown,Credit Card,Small Business
2023-01-23,Pen Set,Office Supplies,9.59,1,9.59,0.0,West,Robert Taylor,Bank Transfer,Individual
2023-01-23,Pen Set,Office Supplies,5.27,5,23.19,0.12,North,John Smith,Debit Card,Government
2023-01-23,Smartwatch,Electronics,975.75,2,1658.77,0.15,North,John Smith,Debit Card,Corporate
2023-01-23,Desk Organizer,Office Supplies,35.84,5,179.2,0.0,North,John Smith,PayPal,Individual
2023-01-23,Office Chair,Furniture,533.07,1,479.76,0.1,South,Michael Johnson,PayPal,Corporate
2023-01-23,Lamp,Furniture,102.54,5,512.7,0.0,West,Jennifer Martinez,Debit Card,Small Business
2023-01-24,Bookshelf,Furniture,148.42,2,296.84,0.0,North,John Smith,Debit Card,Small Business
2023-01-24,Pen Set,Office Supplies,11.14,2,22.28,0.0,East,David Brown,Bank Transfer,Corporate
2023-01-24,Stapler,Office Supplies,26.15,5,130.75,0.0,East,David Brown,Bank Transfer,Individual
2023-01-24,Bookshelf,Furniture,224.8,5,1124.0,0.0,North,John Smith,Bank Transfer,Government
2023-01-24,Paper Clips,Office Supplies,45.25,3,135.75,0.0,South,Sarah Wilson,Credit Card,Individual
2023-01-24,Lamp,Furniture,493.91,3,1481.73,0.0,North,John Smith,PayPal,Government
2023-01-24,Smartphone,Electronics,1791.24,1,1791.24,0.0,West,Robert Taylor,Debit Card,Individual
2023-01-24,Laptop Bag,Accessories,78.33,1,66.58,0.15,West,Jennifer Martinez,Credit Card,Government
2023-01-24,Lamp,Furniture,220.43,5,1102.15,0.0,South,Sarah Wilson,PayPal,Corporate
2023-01-24,Laptop Bag,Accessories,16.57,4,66.28,0.0,East,David Brown,Credit Card,Individual
2023-01-24,Keyboard,Accessories,33.85,2,67.7,0.0,East,David Brown,PayPal,Small Business
2023-01-24,Headphones,Electronics,717.58,4,2870.32,0.0,East,,Debit Card,Individual
2023-01-24,Paper Clips,Office Supplies,19.38,3,58.14,0.0,North,John Smith,Debit Card,Small Business
2023-01-24,Desk Organizer,Office Supplies,34.94,4,139.76,0.0,West,Robert Taylor,Bank Transfer,Corporate
2023-01-24,Desk,Furniture,267.83,1,267.83,0.0,East,Lisa Anderson,PayPal,Individual
2023-01-25,Pen Set,Office Supplies,47.62,1,41.91,0.12,East,Lisa Anderson,Bank Transfer,Corporate
2023-01-25,Filing Cabinet,Furniture,96.73,5,483.65,0.0,East,Lisa Anderson,Debit Card,Small Business
2023-01-25,Bookshelf,Furniture,401.19,4,1588.71,0.01,East,David Brown,Bank Transfer,Individual
2023-01-25,USB Drive,Accessories,23.25,4,93.0,0.0,North,Emma Davis,Bank Transfer,Individual
2023-01-25,Filing Cabinet,Furniture,220.84,4,883.36,0.0,East,David Brown,Debit Card,Small Business
